"file","output_type","extension","size_bytes","modified_time"
"outputs/figures/annual_first_differences.png","figure","png",55613,"2026-06-02 15:54:45"
"outputs/figures/annual_series_overview.png","figure","png",49978,"2026-06-02 15:54:44"
"outputs/figures/candidate_model_residuals.png","figure","png",113761,"2026-06-02 15:54:47"
"outputs/figures/candidate_residual_acf.png","figure","png",81370,"2026-06-02 15:54:48"
"outputs/figures/first_difference_acf.png","figure","png",42608,"2026-06-02 15:54:46"
"outputs/figures/five_year_candidate_forecasts.png","figure","png",62562,"2026-06-02 15:54:50"
"outputs/figures/holdout_forecast_comparison.png","figure","png",60074,"2026-06-02 15:54:49"
"outputs/figures/level_acf.png","figure","png",42117,"2026-06-02 15:54:45"
"outputs/figures/scale_comparison.png","figure","png",53963,"2026-06-02 15:54:44"
"outputs/tables/annual_change_features.csv","table","csv",297,"2026-06-02 15:54:44"
"outputs/tables/annual_first_differences.csv","table","csv",5186,"2026-06-02 15:54:46"
"outputs/tables/best_holdout_models.csv","table","csv",381,"2026-06-02 15:54:50"
"outputs/tables/candidate_model_fit_statistics.csv","table","csv",1734,"2026-06-02 15:54:48"
"outputs/tables/candidate_model_registry.csv","table","csv",506,"2026-06-02 15:54:48"
"outputs/tables/candidate_model_terms.csv","table","csv",1305,"2026-06-02 15:54:48"
"outputs/tables/clean_birth_fertility_series.csv","table","csv",4381,"2026-06-02 15:54:43"
"outputs/tables/data_validation_checks.csv","table","csv",417,"2026-06-02 15:54:43"
"outputs/tables/descriptive_features.csv","table","csv",446,"2026-06-02 15:54:44"
"outputs/tables/differenced_series.csv","table","csv",11025,"2026-06-02 15:54:44"
"outputs/tables/forecast_design.csv","table","csv",343,"2026-06-02 15:54:48"
"outputs/tables/holdout_forecast_accuracy.csv","table","csv",1443,"2026-06-02 15:54:50"
"outputs/tables/model_selection_evidence.csv","table","csv",3343,"2026-06-02 15:54:50"
"outputs/tables/output_manifest.csv","table","csv",2652,"2026-06-01 14:45:08"
"outputs/tables/residual_ljung_box_tests.csv","table","csv",691,"2026-06-02 15:54:48"
"outputs/tables/series_association.csv","table","csv",99,"2026-06-02 15:54:44"
"outputs/tables/series_summary.csv","table","csv",185,"2026-06-02 15:54:43"
"outputs/tables/session_info.txt","table","txt",1396,"2026-06-01 14:45:08"
"outputs/tables/stationarity_screen.csv","table","csv",527,"2026-06-02 15:54:44"
"outputs/tables/transformation_recommendation_inputs.csv","table","csv",412,"2026-06-02 15:54:44"
"outputs/tables/transformation_screen.csv","table","csv",1000,"2026-06-02 15:54:44"
"outputs/tables/transformation_series.csv","table","csv",12738,"2026-06-02 15:54:44"
